ሰላማዊ	ሰላ+ማዊ
ብዝዕባ	ብ+ዝዕባ
አስታት	አስ+ታት
ብዝያዳ	ብ+ዝያዳ
ሃንደበት	ሃንደበ+ት
ምህዳም	ምህዳ+ም
ትምህርቲ	ት+ምህር+ቲ
ብዝሓት	ብ+ዝ+ሓት
ዝተተሓሓዘ	ዝ+ተተሓሓዘ
ድንገት	ድንገ+ት
ትኸክል	ት+ኸክል
ንፍሩር	ን+ፍሩር
ዐዕርክነት	ዐዕርክ+ነት
ኣግኒዩ	ኣግኒ+ዩ
ብናፃ	ብ+ናፃ
ስፍሓት	ስፍ+ሓት
መሬት	መሬ+ት
መለክዒየመሬት	መለክዒየመሬ+ት
ንቑሕ	ን+ቑሕ
በዓልሙያ	በዓልሙ+ያ
ዘለዎ	ዘለ+ዎ
ንዓቐሚ	ን+ዓቐሚ
ኣዳም	ኣዳ+ም
ዝበዕሓገጎልማሳ	ዝ+በዕሓገጎልማሳ
ዘማዊ	ዘ+ማዊ
ሰበይቲ	ሰበይ+ቲ
ዝሙት	ዝ+ሙት
ዕጥራን	ዕጥ+ራን
ንምሣጥን	ን+ምሣጥ+ን
ንምግዛማእንስ	ን+ምግዛማእንስ
መፋለቲ	መፋለ+ቲ
ኣንቴና	ኣንቴ+ና
ሕውነት	ሕው+ነት
ብጣዕሚ	ብ+ጣዕሚ
ጎዲኡ	ጎዲ+ኡ
ብዓልአጋ	ብ+ዓልአጋ
ብእግሪ	ብ+እግሪ
ምኻን	ም+ኻን
ከምባሓዱሽ	ከም+ባሓዱሽ
እንደገና	እ+ንደገ+ና
ብዕድመ	ብ+ዕድመ
ዝበሰለ	ዝ+በሰለ
ኣዕቢዩ	ኣዕቢ+ዩ
አጋዲዱዎ	አጋዲዱ+ዎ
ኣብሪሁ	ኣብ+ሪሁ
ሕማም	ሕማ+ም
ዝኾነት	ዝ+ኾነ+ት
አይነት	አይ+ነት
ነፋሪት	ነፋሪ+ት
መጓዓዝያ	መጓዓዝ+ያ
አውሮፕላን	አውሮፕ+ላን
መልእኽቲ	መልእኽ+ቲ
ነፈርቲ	ነፈር+ቲ
ንኽብቲ	ን+ኽብ+ቲ
ዝኸውንለከብት	ዝ+ኸውንለከብ+ት
ዝመስል	ዝ+መስል
ብምሉኡ	ብ+ምሉ+ኡ
ዓይነት	ዓይ+ነት
ደሓን	ደ+ሓን
ምዕዋት	ምዕ+ዋት
ከምኡውን	ከም+ኡው+ን
እንኮላይ	እ+ንኮላይ
ብራኽ	ብ+ራኽ
ብኹሉ	ብ+ኹሉ
ዝተሓዋወስ	ዝ+ተሓዋወስ
ትምኒት	ት+ምኒ+ት
ሕሙማት	ሕሙ+ማት
ብዙሓት	ብ+ዙ+ሓት
ኾራዩ	ኾራ+ዩ
እንስሳ	እ+ንስሳ
ኸብቲ	ኸብ+ቲ
ዘዜና	ዘዜ+ና
ዝኽረ	ዝ+ኽረ
ዓመት	ዓመ+ት
ብስራት	ብ+ስ+ራት
ቀቢኡ	ቀቢ+ኡ
ዓጋዘን	ዓጋዘ+ን
አንቴና	አንቴ+ና
ቴሌቪዥን	ቴሌቪዥ+ን
ናይቀደም	ናይቀደ+ም
ዝኾነ	ዝ+ኾነ
ዝዝኾነ	ዝ+ዝኾነ
ሓዋርያ	ሓዋር+ያ
መሳራሕያ	መሳራሕ+ያ
ኽዳን	ኽ+ዳን
ትርፍ	ት+ርፍ
ሸውሃት	ሸው+ሃት
ድልየት	ድልየ+ት
ዝብላየዕም	ዝ+ብላየዕ+ም
ሚያዚያ	ሚያዚ+ያ
ዝርበሐሉ	ዝ+ርበሐሉ
ቅርዓት	ቅር+ዓት
ታቦት	ታቦ+ት
ቕልፅም	ቕልፅ+ም
ውግዎ	ውግ+ዎ
ሰራዊት	ሰራዊ+ት
ኩናት	ኩ+ናት
ዝተምሃረ	ዝ+ተምሃረ
ምሕታት	ምሕ+ታት
ቅጥራንን	ቅጥራን+ን
ሑፃን	ሑ+ፃን
እትሓወስ	እ+ትሓወስ
ቕድድም	ቕድድ+ም
ስፖርተኛ	ስፖርተ+ኛ
ዓለም	ዓለ+ም
ዝሓዘ	ዝ+ሓዘ
ምፍታን	ምፍ+ታን
ጅግና	ጅግ+ና
ሓየት	ሓየ+ት
ተመልከቲ	ተመልከ+ቲ
ሰማዕቲ	ሰማዕ+ቲ
ሰስፖርትን	ሰስፖርት+ን
ትልሂትን	ት+ልሂት+ን
ስልጣን	ስል+ጣን
መኺና	መኺ+ና
ንባዕልኻ	ን+ባዕልኻ
ጎዳና	ጎዳ+ና
ሽልማት	ሽል+ማት
ህፃን	ህ+ፃን
ነባይት	ነባይ+ት
ሓብሓቢት	ሓብሓቢ+ት
ንውልቁ	ን+ውልቁ
ዝነብር	ዝ+ነብር
ድሕሪት	ድሕሪ+ት
ብሃፋ	ብ+ሃፋ
ሓሰማበእንፋሎት	ሓሰማበእንፋሎ+ት
እከይ	እ+ከይ
ከረፂት	ከረፂ+ት
ውሕስና	ውሕስ+ና
ምስንካት	ምስ+ን+ካት
ሰንካቲ	ሰንካ+ቲ
መሰንክቲሕብስቲ	መሰንክቲሕብስ+ቲ
እንዳባኒዳቦ	እንዳ+ባኒዳቦ
አብርሻን	አብር+ሻን
ሰገነትሰገነት	ሰገነትሰገ+ነት
ፍሕኛ	ፍሕ+ኛ
ክርስትና	ክርስት+ና
ቡንን	ቡን+ን
መስተን	መስ+ተን
በቤት	በቤ+ት
እግሪ	እ+ግሪ
ስገም	ስገ+ም
ጥሪትን	ጥሪት+ን
ከብትን	ከብት+ን
ኻልን	ኻል+ን
ብፅንጨቲ	ብ+ፅንጨ+ቲ
እተሰርሐ	እ+ተሰርሐ
መኻን	መ+ኻን
አብትሕቲ	አብትሕ+ቲ
ዝረክብ	ዝ+ረክብ
ስኪዔት	ስኪዔ+ት
ናይሌቲ	ናይሌ+ቲ
ገምገም	ገምገ+ም
ዝመሰለ	ዝ+መሰለ
ኣራዊት	ኣራዊ+ት
ኣባሪርዎ	ኣባሪር+ዎ
ዕብቕቲ	ዕብቕ+ቲ
ኣጊፅዎ	ኣጊፅ+ዎ
ዓራት	ዓ+ራት
ቱኋን	ቱ+ኋን
ከክዳን	ከክ+ዳን
ክዳን	ክ+ዳን
ንሕቢ	ን+ሕቢ
ከብቲ	ከብ+ቲ
ንህቢ	ን+ህቢ
ምልማን	ምል+ማን
መጀመሪያ	መጀመሪ+ያ
እሩም	እ+ሩም
ይህላው	ይ+ህላው
ብድሕሪት	ብ+ድሕሪ+ት
ሕሸት	ሕሸ+ት
ምኋን	ም+ኋን
ፋቕርቲ	ፋቕር+ቲ
ኣብታህቲ	ኣብ+ታህ+ቲ
ሂብዎ	ሂብ+ዎ
ብሉዕ	ብ+ሉዕ
ኣዝዩ	ኣዝ+ዩ
ዐዓርኪ	ዐዓር+ኪ
መርዓዊ	መር+ዓዊ
ዝበለዕ	ዝ+በለዕ
ዝሓለፈ	ዝ+ሓለፈ
ቦኽዩ	ቦኽ+ዩ
ብሽክሊታ	ብ+ሽክሊታ
ብወድድር	ብ+ወድድር
ዝሓሳረ	ዝ+ሓሳረ
ዝርዝር	ዝ+ርዝር
አቑሑት	አቑሑ+ት
ዘመልክት	ዘመልክ+ት
ህያዋን	ህያ+ዋን
ትውልዲ	ት+ውልዲ
ምስክር	ምስ+ክር
ልደት	ልደ+ት
ወረቐት	ወረቐ+ት
ዕለት	ዕለ+ት
ብስኩት	ብ+ስኩ+ት
ጨጭራም	ጨጭራ+ም
አንስተጥቲ	አንስተጥ+ቲ
ዐሊም	ዐሊ+ም
ስለሌዳ	ስለ+ሌዳ
ፅሕፈት	ፅሕፈ+ት
ዘትሕጋዊ	ዘትሕ+ጋዊ
ስሕለት	ስሕለ+ት
ኣውያት	ኣው+ያት
ምዕጋት	ምዕ+ጋት
እምባባ	እ+ምባባ
ጠጥፍኣት	ጠጥፍ+ኣት
ጎቲም	ጎቲ+ም
ሰውነት	ሰው+ነት
ትርኣስ	ት+ርኣስ
ዝዓቤ	ዝ+ዓቤ
ብዙሕ	ብ+ዙሕ
ምስታይአሰስካሪ	ምስ+ታይአሰስካሪ
ወሰን	ወሰ+ን
ክልቲኦም	ክልቲ+ኦም
ታሕቲ	ታሕ+ቲ
ዓርኪ	ዓር+ኪ
ፅነት	ፅነ+ት
ካቲም	ካቲ+ም
ልጓም	ልጓ+ም
መኪና	መኪ+ና
ሕበብስቲ	ሕበብስ+ቲ
ምስባር	ምስ+ባር
ምስትንፋስ	ምስ+ትንፋስ
ዝሁል	ዝ+ሁል
ንፋስ	ን+ፋስ
ኣሕዋት	ኣሕ+ዋት
መርዓት	መር+ዓት
ብሩሕ	ብ+ሩሕ
ዝደመቐ	ዝ+ደመቐ
ኣምፂኡ	ኣምፂ+ኡ
ብቀሊል	ብ+ቀሊል
ዝስበር	ዝ+ስበር
ንእሸቶይ	ን+እሸቶይ
ጫቁት	ጫቁ+ት
ባጀት	ባጀ+ት
ትኋንንትኋን	ት+ኋንንት+ኋን
ዝመሰሉን	ዝ+መሰሉ+ን
ብዕራይ	ብ+ዕራይ
ዝራብዕ	ዝ+ራብዕ
ጥይት	ጥይ+ት
ንእሽቶይ	ን+እሽቶይ
እሳር	እ+ሳር
ንእሽታይ	ን+እሽታይ
ጠፊኡ	ጠፊ+ኡ
ደልዩ	ደል+ዩ
ጉሁም	ጉሁ+ም
ንግዲ	ን+ግዲ
እተፈላለየ	እ+ተፈላለየ
እተዋፈነረጋዴ	እ+ተዋፈነረጋዴ
ህርኩት	ህርኩ+ት
እንተኾነ	እንተ+ኾነ
መልጎም	መልጎ+ም
ብጥቓ	ብ+ጥቓ
ብዕንዐይቲ	ብ+ዕንዐይ+ቲ
ሚኒስተራት	ሚኒስተ+ራት
ብልዒ	ብ+ልዒ
እተተኣናግደራሉስን	እ+ተተኣናግደራሉስ+ን
ምስላሕ	ምስ+ላሕ
መፀብፃቢት	መፀብፃቢ+ት
ፃዊዒት	ፃዊዒ+ት
ሓሜት	ሓሜ+ት
ታኒካ	ታኒ+ካ
ዝተሓትመ	ዝ+ተሓትመ
ምስራዝ	ምስ+ራዝ
ሕቱም	ሕቱ+ም
ዝኽል	ዝ+ኽል
ዓቅን	ዓቅ+ን
ምርኾኛ	ምርኾ+ኛ
እትሕዐበሉ	እ+ትሕዐበሉ
ቀለም	ቀለ+ም
ዝተቐአ	ዝ+ተቐአ
ወረቀት	ወረቀ+ት
ካርቶን	ካርቶ+ን
ትምርቲ	ት+ምር+ቲ
ጽዕነት	ጽዕ+ነት
ምኽንያት	ምኽን+ያት
ሳንቲም	ሳንቲ+ም
ኡነት	ኡነ+ት
ትግፅ	ት+ግፅ
ሳንሰለት	ሳንሰለ+ት
አረዳኡ	አረዳ+ኡ
ፍሓም	ፍሓ+ም
ተጓይዩ	ተጓይ+ዩ
ምዕጉርቲ	ምዕጉር+ቲ
ደረት	ደረ+ት
ህፃናት	ህፃ+ናት
ቤተክርስቲያን	ቤተክርስቲ+ያን
ምሕቋን	ምሕ+ቋን
ፊልም	ፊል+ም
ትያትር	ት+ያትር
ዝረአየሉ	ዝ+ረአየሉ
ቀለቤት	ቀለቤ+ት
በዓቲ	በዓ+ቲ
ሰራሕተኛ	ሰራሕተ+ኛ
ፅርየት	ፅርየ+ት
ትኽክል	ት+ኽክል
ከኩነታት	ከኩነ+ታት
ወፂኡ	ወፂ+ኡ
ሰዓት	ሰ+ዓት
መሊኡ	መሊ+ኡ
ደበና	ደበ+ና
ፈፍሪሲዮን	ፈፍሪሲዮ+ን
እምኒ	እ+ምኒ
ኣፉዑት	ኣፉዑ+ት
ተመን	ተመ+ን
ጀበና	ጀበ+ና
ሳዑን	ሳዑ+ን
ዝሑል	ዝ+ሑል
ብርኪ	ብ+ርኪ
ትምህርቲኮሌጅ	ት+ምህርቲኮሌጅ
ምጮት	ምጮ+ት
ውዕለት	ውዕለ+ት
አቲዩ	አቲ+ዩ
ዝለተምዶ	ዝ+ለተምዶ
ብሓደ	ብ+ሓደ
ከኩባንያ	ከኩባን+ያ
ትካል	ት+ካል
ፍፁም	ፍፁ+ም
እተሓላለኽ	እ+ተሓላለኽ
ምስግና	ምስ+ግና
ሓቢኡ	ሓቢ+ኡ
ትዕቢተማ	ት+ዕቢተማ
ምግጥጣም	ምግጥጣ+ም
ከጎታት	ከጎ+ታት
ረዲኡ	ረዲ+ኡ
አመቺዩ	አመቺ+ዩ
ንስሃ	ን+ስሃ
ምስጢረኛ	ምስ+ጢረ+ኛ
ብዓል	ብ+ዓል
ምስጢር	ምስ+ጢር
ረጊኡ	ረጊ+ኡ
ምስምማፅ	ምስ+ምማፅ
ሕሊና	ሕሊ+ና
ሓሊዩ	ሓሊ+ዩ
ብጣእሚ	ብ+ጣእሚ
ሕብረት	ሕብረ+ት
ሰበይቲህብረት	ሰበይቲህብረ+ት
ንቕዐት	ን+ቕዐ+ት
ንኡስልኡኽ	ን+ኡስልኡኽ
ዝላገብ	ዝ+ላገብ
ደስኢሉም	ደስኢሉ+ም
ድንገተኛ	ድንገተ+ኛ
እተኸልከለ	እ+ተኸልከለ
ሕጋዊ	ሕ+ጋዊ
ተፈላሊዩ	ተፈላሊ+ዩ
ሒሽዎ	ሒሽ+ዎ
ስምምፅነት	ስምምፅ+ነት
ተጋንዩ	ተጋን+ዩ
ዝተለወጠ	ዝ+ተለወጠ
ኣብሲሉ	ኣብ+ሲሉ
ምስራሕ	ምስ+ራሕ
ምክሻን	ምክ+ሻን
ዓፂዎ	ዓፂ+ዎ
ቀዳሒት	ቀዳሒ+ት
ገልባጢት	ገልባጢ+ት
ዚፈትዎ	ዚፈት+ዎ
ዕፉን	ዕፉ+ን
ምእራም	ምእራ+ም
ኣባላሺዎ	ኣባላሺ+ዎ
ምስዓል	ምስ+ዓል
ሰብኣትን	ሰብኣት+ን
ሰበጥንት	ሰበጥን+ት
ቤተት	ቤተ+ት
ምሽፋን	ምሽ+ፋን
ምኽዳን	ምኽ+ዳን
ተመኒዩ	ተመኒ+ዩ
ኢልካ	ኢል+ካ
ዘይምርአይአይን	ዘይምርአይአይ+ን
ንቑፅ	ን+ቑፅ
እተልእል	እ+ተልእል
ሰሳዑን	ሰሳዑ+ን
ካሴት	ካሴ+ት
ዕንጨይቲ	ዕንጨይ+ቲ
ፈቲዩ	ፈቲ+ዩ
ለልሕመት	ለልሕመ+ት
ገበን	ገበ+ን
መልቲ	መል+ቲ
ምህርቲ	ምህር+ቲ
እኽሊ	እ+ኽሊ
ምስጋር	ምስ+ጋር
አድቢዩ	አድቢ+ዩ
እኩብ	እ+ኩብ
ሃናት	ሃ+ናት
ኣሳቒዩ	ኣሳቒ+ዩ
ጨካን	ጨ+ካን
ምጭፍላት	ምጭፍ+ላት
ስንኩላት	ስንኩ+ላት
ገበነኛ	ገበነ+ኛ
መድዓዊ	መድ+ዓዊ
ኩንታት	ኩን+ታት
ስርዓት	ስር+ዓት
ሓላዊ	ሓ+ላዊ
መዕበዩት	መዕበዩ+ት
ቀባቢኡ	ቀባቢ+ኡ
ጣቢያ	ጣቢ+ያ
ብልሽዊ	ብ+ልሽዊ
ጭርናዕቲ	ጭርናዕ+ቲ
ሓደገኛ	ሓደገ+ኛ
ዐልማት	ዐል+ማት
ብጉሓት	ብ+ጉ+ሓት
መዓልቲ	መዓል+ቲ
ብቕድሚ	ብ+ቕድሚ
ትማሊ	ት+ማሊ
ንግሆ	ን+ግሆ
ዲያቆን	ዲያቆ+ን
ዝሞተ	ዝ+ሞተ
ፀማም	ፀማ+ም
ዓርማም	ዓርማ+ም
ተፈታዊ	ተፈ+ታዊ
ሕፅረት	ሕፅረ+ት
ውድቐት	ውድቐ+ት
አሳሓሓቲ	አሳሓሓ+ቲ
ምውሳን	ምው+ሳን
ዓጋዜን	ዓጋዜ+ን
እምቢተኛ	እ+ምቢተ+ኛ
ጉድለት	ጉድለ+ት
ሕዕረት	ሕዕረ+ት
እበርቢሩ	እ+በርቢሩ
ትሕት	ት+ሕት
አቢሊዎ	አቢሊ+ዎ
ጥዑም	ጥዑ+ም
ገበነን	ገበነ+ን
ሓኪም	ሓኪ+ም
ሞዋቲ	ሞዋ+ቲ
ዕግዕተኛ	ዕግዕተ+ኛ
ወዲኡ	ወዲ+ኡ
አውፂእዎ	አውፂእ+ዎ
ነውረኛ	ነውረ+ኛ
ጠጥልቀት	ጠጥልቀ+ት
ዑምቆት	ዑምቆ+ት
ዝግፊ	ዝ+ግፊ
ፕላን	ፕ+ላን
ትልሚ	ት+ልሚ
ሓዲግዎ	ሓዲግ+ዎ
ንዒቑ	ን+ዒቑ
ምስኪን	ምስ+ኪን
ምልኣት	ምል+ኣት
ንኣብነት	ን+ኣብ+ነት
ተበላሺዩ	ተበላሺ+ዩ
ሰይጣን	ሰይ+ጣን
ሸኮሪያ	ሸኮሪ+ያ
ተለፎን	ተለፎ+ን
ቃላት	ቃ+ላት
ጠፈኡ	ጠፈ+ኡ
በንዚን	በንዚ+ን
ዝተፋላለየ	ዝ+ተፋላለየ
ሕፍረት	ሕፍረ+ት
ትጉህ	ት+ጉህ
ንጉዕ	ን+ጉዕ
ነኪዩ	ነኪ+ዩ
በሊኡ	በሊ+ኡ
ዝብለዐሉ	ዝ+ብለዐሉ
መይለኛ	መይለ+ኛ
አንፈት	አንፈ+ት
ርስሓት	ርስ+ሓት
ገጉድኣት	ገጉድ+ኣት
ደብርዩ	ደብር+ዩ
ተረዲኡ	ተረዲ+ኡ
ትሑት	ት+ሑት
አላቒቕዎ	አላቒቕ+ዎ
ኣበሳሺዩ	ኣበሳሺ+ዩ
ሓፍረት	ሓፍረ+ት
ዕልኣት	ዕል+ኣት
ዝርኽርኽ	ዝ+ርኽርኽ
ብኹን	ብ+ኹን
ርሕቀት	ርሕቀ+ት
ዝተፈልጠ	ዝ+ተፈልጠ
ምክፋት	ምክ+ፋት
እምነት	እ+ምነ+ት
እንሰሳ	እ+ንሰሳ
ርግቢት	ርግቢ+ት
ነንታሕቲ	ነንታሕ+ቲ
ኣብታሕቲ	ኣብ+ታሕ+ቲ
ውድቀት	ውድቀ+ት
ብዙህ	ብ+ዙህ
ደርዘን	ደርዘ+ን
ፅንቅፋት	ፅንቅ+ፋት
ክፍሊመሳቢያ	ክፍሊመሳቢ+ያ
ምስታይ	ምስ+ታይ
ተስትዩ	ተስት+ዩ
ሰካራም	ሰካራ+ም
ባሃም	ባሃ+ም
ዶሮና	ዶሮ+ና
ድርኪ	ድር+ኪ
እንቋቁሖ	እ+ንቋቁሖ
ንስሪ	ን+ስሪ
እዝኒ	እ+ዝኒ
ሸቑርን	ሸቑር+ን
ኩትሻን	ኩት+ሻን
ዝመስሉ	ዝ+መስሉ
ምልክት	ምልክ+ት
ጎንደራዓነት	ጎንደራዓ+ነት
ከካም	ከካ+ም
ትንሳኤ	ት+ንሳኤ
እንፋስጋ	እ+ንፋስጋ
ምብራቓዊ	ምብራ+ቓዊ
ብቐሊል	ብ+ቐሊል
አይነዛነዝን	አይነዛነዝ+ን
ኮዳም	ኮዳ+ም
አሳናዲዩ	አሳናዲ+ዩ
አዳላዊ	አዳ+ላዊ
ምስትምሃር	ምስ+ትምሃር
ኣጥፊኡ	ኣጥፊ+ኡ
ወውፅኢት	ወውፅኢ+ት
ጉድኣት	ጉድ+ኣት
ደማም	ደማ+ም
ፅፅረት	ፅፅረ+ት
ቅረፍቲ	ቅረፍ+ቲ
ሰማንያ	ሰማን+ያ
ካብክልቲኡ	ካብ+ክልቲ+ኡ
ሓዲኡ	ሓዲ+ኡ
ተፊኡ	ተፊ+ኡ
ዝምረዕ	ዝ+ምረዕ
ሠራሕተኛ	ሠራሕተ+ኛ
ዝበለ	ዝ+በለ
ናብርሻን	ናብ+ር+ሻን
መጎዓዓዚት	መጎዓዓዚ+ት
ኣስርት	ኣስር+ት
እንተዘይሃለወ	እንተ+ዘይሃለወ
ሓንቲ	ሓን+ቲ
አውፂኡ	አውፂ+ኡ
ፊሓም	ፊሓ+ም
ኣፅሊኡ	ኣፅሊ+ኡ
ኣርማያ	ኣርማ+ያ
ቀጠልያ	ቀጠል+ያ
ኩነታት	ኩነ+ታት
ስደተኛ	ስደተ+ኛ
ፈፍሉት	ፈፍሉ+ት
መልአኽተኛ	መልአኽተ+ኛ
ስሚዒት	ስሚዒ+ት
ትሕቲ	ት+ሕቲ
ብጉስ	ብ+ጉስ
እትማሓደር	እ+ትማሓደር
ምግጣም	ምግጣ+ም
ዳፊኡ	ዳፊ+ኡ
ይሒሱ	ይ+ሒሱ
ፅንቕፋት	ፅንቕ+ፋት
ፀገም	ፀገ+ም
ምፍፃም	ምፍፃ+ም
ዝማርኸ	ዝ+ማርኸ
ኣፅብዩ	ኣፅብ+ዩ
አረዲኡ	አረዲ+ኡ
ፀላኢነት	ፀላኢ+ነት
እኹል	እ+ኹል
በባሪያ	በባሪ+ያ
