ናዊ	ና+ዊ
ናትካ	ናት+ካ
ዘበር	ዘ+በር
ንስድ	ን+ስድ
ንቀሳ	ን+ቀሳ
ንቀቕ	ን+ቀቕ
ሎካ	ሎ+ካ
ንቀቐ	ን+ቀቐ
ዘቢባ	ዘ+ቢባ
ለዎም	ለ+ዎ+ም
ልሰት	ልሰ+ት
ንቅስ	ን+ቅስ
ለውጢ	ለ+ውጢ
ነዞም	ነዞ+ም
ለዋይ	ለ+ዋይ
ለዓለ	ለ+ዓለ
ላታት	ላ+ታት
ላቶም	ላቶ+ም
ንቅል	ን+ቅል
ቓን	ቓ+ን
ሐት	ሐ+ት
ላትን	ላት+ን
ላትና	ላት+ና
ሎምን	ሎም+ን
ጠን	ጠ+ን
ህጻን	ህጻ+ን
ህጻና	ህጻ+ና
ዛሕት	ዛሕ+ት
ለዘይ	ለ+ዘይ
ለዝበ	ለ+ዝበ
ለዝተ	ለ+ዝተ
ዜና	ዜ+ና
ሊኦም	ሊ+ኦም
ለዝዀ	ለ+ዝዀ
ለዝኾ	ለ+ዝኾ
ሎሪን	ሎሪ+ን
ለይን	ለ+ይ+ን
ንበት	ን+በ+ት
ንባሩ	ን+ባሩ
ንባር	ን+ባር
ንበሪ	ን+በሪ
ንበር	ን+በር
ለይቲ	ለ+ይቲ
ንብብ	ን+ብብ
ንባሮ	ን+ባሮ
ንብል	ን+ብል
ንብሎ	ን+ብሎ
ንብረ	ን+ብረ
ንባብ	ን+ባብ
ንብዙ	ን+ብዙ
ለድኻ	ለ+ድኻ
ጠመት	ጠመ+ት
ሑት	ሑ+ት
ሐን	ሐ+ን
ንብድ	ን+ብድ
ልዶ	ል+ዶ
ዛዊ	ዛ+ዊ
ንተት	ን+ተ+ት
ንተን	ን+ተ+ን
ንተነ	ን+ተነ
ንተረ	ን+ተረ
ንተር	ን+ተር
ልባት	ልባ+ት
ዝን	ዝ+ን
ንተዝ	ን+ተዝ
ንተደ	ን+ተደ
ንታኡ	ን+ታ+ኡ
ጥም	ጥ+ም
ዝና	ዝ+ና
ንተዄ	ን+ተዄ
ንተኾ	ን+ተኾ
ንተዀ	ን+ተዀ
ንቶም	ን+ቶ+ም
ንተዘ	ን+ተዘ
ልቦና	ልቦ+ና
ንታታ	ን+ታታ
ንቲና	ን+ቲ+ና
ዝህሉ	ዝ+ህሉ
ዝህል	ዝ+ህል
ዘንጸ	ዘ+ንጸ
ንቸስ	ን+ቸስ
ንትን	ን+ት+ን
ንታይ	ን+ታይ
ቓዊ	ቓ+ዊ
ዝህብ	ዝ+ህብ
ቕን	ቕ+ን
ዝለዓ	ዝ+ለዓ
ልታት	ል+ታት
ሒት	ሒ+ት
ዝሓለ	ዝ+ሓለ
ዝሓል	ዝ+ሓል
ልታዊ	ልታ+ዊ
ዝሓት	ዝ+ሓ+ት
ዘካይ	ዘ+ካይ
ዝሓስ	ዝ+ሓስ
ዝሓሸ	ዝ+ሓሸ
ዝሕል	ዝ+ሕል
ሊዛዊ	ሊዛ+ዊ
ዝሕብ	ዝ+ሕብ
ዝመሓ	ዝ+መሓ
ዝመል	ዝ+መል
ዝመስ	ዝ+መስ
ዝመር	ዝ+መር
ጦም	ጦ+ም
ንነብ	ን+ነብ
ዝምል	ዝ+ምል
ንነት	ን+ነ+ት
ዝመጽ	ዝ+መጽ
ዝማዕ	ዝ+ማዕ
ንናን	ን+ና+ን
ዝምድ	ዝ+ምድ
ንንው	ን+ንው
ለጥኩ	ለ+ጥ+ኩ
ልነት	ል+ነት
ላውን	ላ+ውን
ንኣብ	ን+ኣብ
ንኡስ	ን+ኡስ
ንኡሳ	ን+ኡሳ
ዝረኣ	ዝ+ረ+ኣ
ዝረኸ	ዝ+ረኸ
ልናን	ልና+ን
ዝራብ	ዝ+ራብ
ንኩላ	ን+ኩላ
ንእሽ	ን+እሽ
ንእሰ	ን+እሰ
ንኣቱ	ን+ኣቱ
ዝሰር	ዝ+ሰር
ሓት	ሓ+ት
ንከላ	ን+ከላ
ዝርከ	ዝ+ርከ
ንኣከ	ን+ኣከ
ንከሎ	ን+ከሎ
ዝርእ	ዝ+ርእ
ንከለ	ን+ከለ
ንእግ	ን+እግ
ንኩን	ን+ኩ+ን
ዝርጋ	ዝ+ርጋ
ዘውት	ዘ+ው+ት
ሖም	ሖ+ም
ናዮም	ናዮ+ም
ዝስዕ	ዝ+ስዕ
ልኢት	ልኢ+ት
ናይት	ናይ+ት
ጣን	ጣ+ን
ንክታ	ን+ክታ
ልኦት	ልኦ+ት
ልኦም	ል+ኦም
ነፍሲ	ነፍ+ሲ
ንኹሉ	ን+ኹሉ
ልኩን	ልኩ+ን
ጠባዊ	ጠባ+ዊ
ልከት	ልከ+ት
ንኽል	ን+ኽል
ንኸው	ን+ኸው
ንኻል	ን+ኻል
ልክት	ልክ+ት
ንኽነ	ን+ኽነ
ንኽእ	ን+ኽእ
ዘየለ	ዘ+የለ
ንኸይ	ን+ኸይ
ዝቃወ	ዝ+ቃወ
ላይን	ላይ+ን
ዚኦም	ዚ+ኦም
ንኽት	ን+ኽ+ት
ጡቓት	ጡቓ+ት
ዝቐር	ዝ+ቐር
ዝቐሰ	ዝ+ቐሰ
ሓን	ሓ+ን
ዝቐረ	ዝ+ቐረ
ዘይቀ	ዘ+ይቀ
ዘይስ	ዘ+ይስ
ዝቐነ	ዝ+ቐነ
ዘይበ	ዘ+ይበ
ጠትን	ጠት+ን
ዘየገ	ዘ+የገ
ዘይተ	ዘ+ይተ
ዘይቲ	ዘ+ይቲ
ዘይብ	ዘ+ይብ
ዘይሓ	ዘ+ይሓ
ንወለ	ን+ወለ
ዘይም	ዘ+ይ+ም
ዘይር	ዘ+ይር
ዘይረ	ዘ+ይረ
ዘይወ	ዘ+ይወ
ዘይዝ	ዘ+ይዝ
ሉጻት	ሉጻ+ት
ዘይደ	ዘ+ይደ
ዝቕመ	ዝ+ቕመ
ዘይት	ዘ+ይ+ት
ዘይነ	ዘ+ይነ
ዘይኣ	ዘ+ይ+ኣ
ዘይን	ዘ+ይ+ን
ዘይኮ	ዘ+ይኮ
ዘይክ	ዘ+ይክ
ዘይኰ	ዘ+ይኰ
ንውሕ	ን+ውሕ
ዘይከ	ዘ+ይከ
ዘይካ	ዘ+ይ+ካ
ዘድሊ	ዘ+ድሊ
ዘድል	ዘ+ድል
ዘይገ	ዘ+ይገ
ዝበል	ዝ+በል
ዝበሃ	ዝ+በሃ
ዝበለ	ዝ+በለ
ዝበሉ	ዝ+በሉ
ንዓት	ን+ዓ+ት
ንዓና	ን+ዓ+ና
ንዓር	ን+ዓር
ንዓይ	ን+ዓይ
ንዕኡ	ን+ዕ+ኡ
ዝብሃ	ዝ+ብሃ
ልዎም	ልዎ+ም
ዝብሉ	ዝ+ብሉ
ዝብለ	ዝ+ብለ
ንዘብ	ን+ዘብ
ዝብል	ዝ+ብል
ዝብሎ	ዝ+ብሎ
ዝበቕ	ዝ+በቕ
ልወና	ልወ+ና
ንዕና	ን+ዕ+ና
ዝበጽ	ዝ+በጽ
ዝብኢ	ዝ+ብኢ
ዝበዝ	ዝ+በዝ
ንዕድ	ን+ዕድ
ዘገል	ዘ+ገል
ዝብገ	ዝ+ብገ
ንዝተ	ን+ዝተ
ንዘጋ	ን+ዘጋ
ንዝነ	ን+ዝነ
ዝተሓ	ዝ+ተሓ
ዝተመ	ዝ+ተመ
ዝተራ	ዝ+ተራ
ዝተሰ	ዝ+ተሰ
ዝተረ	ዝ+ተረ
ዝተቐ	ዝ+ተቐ
ንዝደ	ን+ዝደ
ዝተላ	ዝ+ተላ
ዘገድ	ዘ+ገድ
ጥና	ጥ+ና
ዝተኻ	ዝ+ተኻ
ዝተኸ	ዝ+ተኸ
ንያም	ን+ያ+ም
ዝተዋ	ዝ+ተዋ
ዝተወ	ዝ+ተወ
ዝተበ	ዝ+ተበ
ዝተባ	ዝ+ተባ
ዝተጠ	ዝ+ተጠ
ዘጋጠ	ዘ+ጋጠ
ዘጋጥ	ዘ+ጋጥ
ዝተጻ	ዝ+ተጻ
ዝተጸ	ዝ+ተጸ
ዝተፈ	ዝ+ተፈ
ዝተዓ	ዝ+ተዓ
ዝተደ	ዝ+ተደ
ጥን	ጥ+ን
ንያቱ	ን+ያቱ
ንያታ	ን+ያታ
ንያት	ን+ያ+ት
ዝተገ	ዝ+ተገ
ንደበ	ን+ደበ
ንዲኺ	ን+ዲኺ
ንደይ	ን+ደይ
ልየት	ልየ+ት
ንደገ	ን+ደገ
ንድሕ	ን+ድሕ
ንድስ	ን+ድስ
ንዳው	ን+ዳው
ንዳዕ	ን+ዳዕ
ልዮም	ልዮ+ም
ንድፊ	ን+ድፊ
ሓሶት	ሓሶ+ት
ዞባዊ	ዞባ+ዊ
ልዮን	ልዮ+ን
ሕና	ሕ+ና
ጥካ	ጥ+ካ
ዝነበ	ዝ+ነበ
ንገር	ን+ገር
ዝነብ	ዝ+ነብ
ሕን	ሕ+ን
ዚደን	ዚደ+ን
ንግሊ	ን+ግሊ
ዝነት	ዝ+ነ+ት
ጥማት	ጥማ+ት
ሓቀኛ	ሓቀ+ኛ
ንጉስ	ን+ጉስ
ጥሞም	ጥሞ+ም
ንገብ	ን+ገብ
ንጋዕ	ን+ጋዕ
ንግስ	ን+ግስ
ንጎል	ን+ጎል
ንገዛ	ን+ገዛ
ንገዲ	ን+ገዲ
ንግዲ	ን+ግዲ
ንግዳ	ን+ግዳ
ንግድ	ን+ግድ
ዝንጋ	ዝ+ንጋ
ጥሪት	ጥሪ+ት
ዝኣመ	ዝ+ኣመ
ዝኣተ	ዝ+ኣተ
ሒታት	ሒ+ታት
ሕካ	ሕ+ካ
ዝኣክ	ዝ+ኣክ
ዝከር	ዝ+ከር
ሕማም	ሕማ+ም
ጣታት	ጣ+ታት
ዝከኣ	ዝ+ከ+ኣ
ዝካየ	ዝ+ካየ
ልጠና	ልጠ+ና
ሕሪት	ሕሪ+ት
ንጥፈ	ን+ጥፈ
ጥቃም	ጥቃ+ም
ልጠት	ልጠ+ት
ሕረት	ሕረ+ት
ኛታት	ኛ+ታት
ልጥን	ልጥ+ን
ዝኸይ	ዝ+ኸይ
ሕርን	ሕር+ን
ዝኽል	ዝ+ኽል
ሕሪን	ሕሪ+ን
ሕሪኡ	ሕሪ+ኡ
ልጣን	ልጣ+ን
ዝኸው	ዝ+ኸው
ሓተት	ሓተ+ት
ንጹር	ን+ጹር
ዝዀነ	ዝ+ዀነ
ንጸላ	ን+ጸላ
ዝኾነ	ዝ+ኾነ
ዝኽእ	ዝ+ኽእ
ዝኾኑ	ዝ+ኾኑ
ዝወሓ	ዝ+ወሓ
ንጽር	ን+ጽር
ዝወረ	ዝ+ወረ
ሓትት	ሓት+ት
ንጸባ	ን+ጸባ
ሓቲት	ሓቲ+ት
ንጸት	ን+ጸ+ት
ንጻሩ	ን+ጻሩ
ንጻር	ን+ጻር
መት	መ+ት
ዝወሰ	ዝ+ወሰ
ዛጊት	ዛጊ+ት
ማም	ማ+ም
ዝውሰ	ዝ+ውሰ
ንፈስ	ን+ፈስ
ዝወጸ	ዝ+ወጸ
ሕቀት	ሕቀ+ት
ንፈል	ን+ፈል
ንፈር	ን+ፈር
ዝዓበ	ዝ+ዓበ
ንፋስ	ን+ፋስ
አን	አ+ን
ቕዓት	ቕዓ+ት
መን	መ+ን
መና	መ+ና
ዝዮም	ዝ+ዮ+ም
ዝደለ	ዝ+ደለ
ዝደሊ	ዝ+ደሊ
ዝድር	ዝ+ድር
ዝያዳ	ዝ+ያዳ
መልሲ	መል+ሲ
መልኪ	መል+ኪ
መልኦ	መል+ኦ
ኢት	ኢ+ት
ኡን	ኡ+ን
ሕተም	ሕተ+ም
ዝጀመ	ዝ+ጀመ
ሕተኛ	ሕተ+ኛ
ሚት	ሚ+ት
ዝገብ	ዝ+ገብ
ዝገበ	ዝ+ገበ
ዝገለ	ዝ+ገለ
ሕትና	ሕት+ና
ዝገል	ዝ+ገል
ዝግመ	ዝ+ግመ
ሙን	ሙ+ን
ዝጊቦ	ዝ+ጊቦ
ዝግለ	ዝ+ግለ
ዝገደ	ዝ+ገደ
ሒዞም	ሒዞ+ም
ዝግበ	ዝ+ግበ
ዝግባ	ዝ+ግባ
ዝግብ	ዝ+ግብ
መረት	መረ+ት
መሪካ	መሪ+ካ
መሬት	መሬ+ት
እሲ	እ+ሲ
ሓውሲ	ሓው+ሲ
ኢና	ኢ+ና
ኣት	ኣ+ት
ኦም	ኦ+ም
ዝጥቀ	ዝ+ጥቀ
ሒደት	ሒደ+ት
ሚን	ሚ+ን
ዝጠፍ	ዝ+ጠፍ
ኢሎም	ኢሎ+ም
ማት	ማ+ት
ኢለን	ኢለ+ን
ኢልና	ኢል+ና
ሞም	ሞ+ም
ኢልካ	ኢል+ካ
ኡሳን	ኡሳ+ን
የት	የ+ት
ሚኡ	ሚ+ኡ
ያም	ያ+ም
ሕክም	ሕክ+ም
ዝጸን	ዝ+ጸ+ን
ኣን	ኣ+ን
ቢሲ	ቢ+ሲ
ኣለም	ኣ+ለ+ም
ሓደን	ሓደ+ን
ዝጽን	ዝ+ጽ+ን
በት	በ+ት
ዝፈለ	ዝ+ፈለ
ኣሉታ	ኣ+ሉታ
ኣለኒ	ኣ+ለኒ
ኣለና	ኣ+ለ+ና
ኣሃዱ	ኣ+ሃዱ
ዝፈት	ዝ+ፈ+ት
ዝፈተ	ዝ+ፈተ
ዝፍለ	ዝ+ፍለ
ማን	ማ+ን
ኣሉን	ኣ+ሉ+ን
ዝፈሰ	ዝ+ፈሰ
ኣህጉ	ኣ+ህጉ
ኣለኹ	ኣ+ለኹ
ኣለኻ	ኣ+ለኻ
ኣለዎ	ኣ+ለዎ
ኣለወ	ኣ+ለወ
ኣለዉ	ኣ+ለዉ
ኣለዋ	ኣ+ለዋ
ጥዕና	ጥዕ+ና
ኣሕሊ	ኣ+ሕሊ
ዝፈጥ	ዝ+ፈጥ
ኣልኩ	ኣ+ል+ኩ
ጭት	ጭ+ት
ማለት	ማለ+ት
ኣመል	ኣ+መል
ኣመሓ	ኣ+መሓ
ኣመለ	ኣ+መለ
የና	የ+ና
ኣመሰ	ኣ+መሰ
ማኡ	ማ+ኡ
ኣመሪ	ኣ+መሪ
ዝፈጸ	ዝ+ፈጸ
ኣሕመ	ኣ+ሕመ
ኣመና	ኣ+መ+ና
ኣማራ	ኣ+ማራ
የን	የ+ን
ኣምን	ኣ+ም+ን
ጫረት	ጫረ+ት
ኣማን	ኣ+ማ+ን
ከም	ከ+ም
መታት	መ+ታት
የለን	የለ+ን
መተት	መተ+ት
መትን	መት+ን
በን	በ+ን
ሜን	ሜ+ን
ማማት	ማማ+ት
ምት	ም+ት
ኣሰል	ኣ+ሰል
በለት	በለ+ት
ኣረጋ	ኣ+ረጋ
ኣርእ	ኣ+ርእ
ኣርከ	ኣ+ርከ
ኣርሰ	ኣ+ርሰ
ኣረዲ	ኣ+ረዲ
ኣርባ	ኣ+ርባ
የካ	የ+ካ
ኣርጀ	ኣ+ርጀ
ኣስመ	ኣ+ስመ
ኣዊ	ኣ+ዊ
ጭን	ጭ+ን
በሎም	በሎ+ም
ኣስታ	ኣ+ስታ
ዩን	ዩ+ን
በልና	በል+ና
በልካ	በል+ካ
በልኩ	በል+ኩ
ኣስተ	ኣ+ስተ
ይም	ይ+ም
እና	እ+ና
ኦት	ኦ+ት
ኣስዒ	ኣ+ስዒ
በካ	በ+ካ
ማዊ	ማ+ዊ
እን	እ+ን
ቡን	ቡ+ን
ኩም	ኩ+ም
ቢት	ቢ+ት
ምና	ም+ና
እለት	እለ+ት
ሞት	ሞ+ት
እኡ	እ+ኡ
ምን	ም+ን
እሉን	እሉ+ን
ኣቋሪ	ኣ+ቋሪ
በረን	በረ+ን
ይሲ	ይ+ሲ
እኩ	እ+ኩ
ኣቓል	ኣ+ቓል
ኤርት	ኤር+ት
እልን	እል+ን
በረት	በረ+ት
በራዊ	በራ+ዊ
በርና	በር+ና
ምኡ	ም+ኡ
በርኩ	በር+ኩ
ያት	ያ+ት
በሮም	በሮ+ም
ምህን	ምህ+ን
በራት	በራ+ት
ሂም	ሂ+ም
እካ	እ+ካ
ሃም	ሃ+ም
ሀን	ሀ+ን
ኢትን	ኢት+ን
እመን	እመ+ን
ኣቐዲ	ኣ+ቐዲ
ሃን	ሃ+ን
ሃና	ሃ+ና
መኪና	መኪ+ና
ብሲ	ብ+ሲ
ለም	ለ+ም
ኦን	ኦ+ን
ሃዊ	ሃ+ዊ
ህን	ህ+ን
ምኩ	ም+ኩ
ሊም	ሊ+ም
ዮም	ዮ+ም
ምልኩ	ምል+ኩ
ለት	ለ+ት
ላም	ላ+ም
ኣቢላ	ኣ+ቢላ
ላሲ	ላ+ሲ
ለና	ለ+ና
ለን	ለ+ን
ለኪ	ለ+ኪ
ለካ	ለ+ካ
ኣባላ	ኣ+ባላ
ለኩ	ለ+ኩ
ኣባል	ኣ+ባል
ባት	ባ+ት
ሊት	ሊ+ት
ሉን	ሉ+ን
ሕጋዊ	ሕጋ+ዊ
ልም	ል+ም
ሚታት	ሚ+ታት
ልሲ	ል+ሲ
ላት	ላ+ት
ሊን	ሊ+ን
ሊና	ሊ+ና
ሎም	ሎ+ም
ኣበሃ	ኣ+በሃ
ሊኡ	ሊ+ኡ
ሊኣ	ሊ+ኣ
ሊኦ	ሊ+ኦ
ላን	ላ+ን
ሌት	ሌ+ት
ምካ	ም+ካ
ኣበር	ኣ+በር
ላኦ	ላ+ኦ
ኣብር	ኣ+ብር
ልት	ል+ት
ልኣ	ል+ኣ
ኣበይ	ኣ+በይ
ቢን	ቢ+ን
ሓም	ሓ+ም
ሓሲ	ሓ+ሲ
ሕም	ሕ+ም
ኣብዚ	ኣ+ብዚ
ኣብዛ	ኣ+ብዛ
ሒን	ሒ+ን
ቦም	ቦ+ም
ኣብቲ	ኣ+ብቲ
ኣብታ	ኣ+ብታ
ሓና	ሓ+ና
ኣብነ	ኣ+ብነ
ኣብኡ	ኣ+ብ+ኡ
ሕት	ሕ+ት
መም	መ+ም
መሲ	መ+ሲ
ኣብያ	ኣ+ብያ
ምምካ	ምም+ካ
ኣቦይ	ኣ+ቦይ
ቡራት	ቡራ+ት
መኪ	መ+ኪ
መካ	መ+ካ
መኩ	መ+ኩ
ሙና	ሙ+ና
ምም	ም+ም
ቢኡ	ቢ+ኡ
ኣተሓ	ኣ+ተሓ
ሚካ	ሚ+ካ
ሜት	ሜ+ት
ማኦ	ማ+ኦ
ሜና	ሜ+ና
ቢሎም	ቢሎ+ም
ኣቶም	ኣ+ቶ+ም
ያን	ያ+ን
እስና	እስ+ና
ምኦ	ም+ኦ
ምርም	ምር+ም
ሞን	ሞ+ን
ኣትለ	ኣ+ትለ
ቢልካ	ቢል+ካ
ኣትሒ	ኣ+ትሒ
ኣተወ	ኣ+ተወ
ምርኣ	ምር+ኣ
ከት	ከ+ት
ምርካ	ምር+ካ
ኣትየ	ኣ+ትየ
ኣታዊ	ኣ+ታ+ዊ
ኣትክ	ኣ+ትክ
ረም	ረ+ም
ረሲ	ረ+ሲ
ረት	ረ+ት
ራም	ራ+ም
ምሮኣ	ምሮ+ኣ
ራሲ	ራ+ሲ
ረና	ረ+ና
ረን	ረ+ን
ኦምን	ኦም+ን
ረኣ	ረ+ኣ
ረኡ	ረ+ኡ
ረካ	ረ+ካ
ረኩ	ረ+ኩ
ሪት	ሪ+ት
ባን	ባ+ን
ሩን	ሩ+ን
ርም	ር+ም
ምስን	ምስ+ን
ርሲ	ር+ሲ
ራት	ራ+ት
ሪን	ሪ+ን
ሮም	ሮ+ም
ምስኣ	ምስ+ኣ
ሪኡ	ሪ+ኡ
ሪካ	ሪ+ካ
ራን	ራ+ን
ራና	ራ+ና
ሬት	ሬ+ት
ረዶ	ረ+ዶ
ባና	ባ+ና
ራኣ	ራ+ኣ
ቤት	ቤ+ት
ርት	ር+ት
ሬን	ሬ+ን
ሰም	ሰ+ም
ማታት	ማ+ታት
ምስት	ምስ+ት
ራዊ	ራ+ዊ
ርና	ር+ና
ሮት	ሮ+ት
ርን	ር+ን
ርኛ	ር+ኛ
ርኣ	ር+ኣ
ርካ	ር+ካ
ርኩ	ር+ኩ
ርኪ	ር+ኪ
ሮን	ሮ+ን
ሮኣ	ሮ+ኣ
ሰት	ሰ+ት
ምሸት	ምሸ+ት
ማትን	ማት+ን
ሳሲ	ሳ+ሲ
ሰና	ሰ+ና
ሰን	ሰ+ን
ሰኣ	ሰ+ኣ
ሱን	ሱ+ን
ስም	ስ+ም
ሳት	ሳ+ት
ሲን	ሲ+ን
ሲና	ሲ+ና
ሶም	ሶ+ም
ሳን	ሳ+ን
ስት	ስ+ት
ሳዊ	ሳ+ዊ
ስና	ስ+ና
ሶት	ሶ+ት
ስን	ስ+ን
ባኡ	ባ+ኡ
ስኣ	ስ+ኣ
ስካ	ስ+ካ
ስኩ	ስ+ኩ
ባላት	ባላ+ት
ሸት	ሸ+ት
ሻም	ሻ+ም
ሸን	ሸ+ን
ይት	ይ+ት
ቢሮም	ቢሮ+ም
ቀም	ቀ+ም
የትን	የት+ን
ሻዊ	ሻ+ዊ
ሽና	ሽ+ና
ሽን	ሽ+ን
ኣንታ	ኣ+ንታ
ቀት	ቀ+ት
ቃም	ቃ+ም
ምቈት	ምቈ+ት
ቀን	ቀ+ን
ቀኛ	ቀ+ኛ
ኣንስ	ኣ+ንስ
ቅም	ቅ+ም
በቶም	በቶ+ም
ቃን	ቃ+ን
ደም	ደ+ም
ቃዊ	ቃ+ዊ
ቅን	ቅ+ን
ቈት	ቈ+ት
ሕፈት	ሕፈ+ት
በትና	በት+ና
ኣንጻ	ኣ+ንጻ
በትን	በት+ን
ቋን	ቋ+ን
ኣእም	ኣ+እ+ም
ማኖት	ማኖ+ት
ቐት	ቐ+ት
ቐን	ቐ+ን
ቕም	ቕ+ም
ከለና	ከለ+ና
ያዊ	ያ+ዊ
ኣክል	ኣ+ክል
ከኣ	ከ+ኣ
ቕና	ቕ+ና
ኣካላ	ኣ+ካላ
ኣካል	ኣ+ካል
ባሮም	ባሮ+ም
ምበኣ	ምበ+ኣ
እቶም	እቶ+ም
ባርካ	ባር+ካ
ይን	ይ+ን
እተን	እተ+ን
ይና	ይ+ና
ይህል	ይ+ህል
በና	በ+ና
በኛ	በ+ኛ
በኣ	በ+ኣ
ቡና	ቡ+ና
እታዊ	እታ+ዊ
ብም	ብ+ም
እትን	እት+ን
ባዊ	ባ+ዊ
ከምኡ	ከም+ኡ
ብት	ብ+ት
ብና	ብ+ና
ቦት	ቦ+ት
ብን	ብ+ን
ብኣ	ብ+ኣ
ኩን	ኩ+ን
ብኡ	ብ+ኡ
ብኦ	ብ+ኦ
ብካ	ብ+ካ
ብኩ	ብ+ኩ
ቦን	ቦ+ን
ቦና	ቦ+ና
ይለሚ	ይ+ለሚ
ቨን	ቨ+ን
ኣኼባ	ኣ+ኼባ
በንን	በን+ን
ኣኹዎ	ኣ+ኹዎ
ቪን	ቪ+ን
ምታት	ም+ታት
ብሄራ	ብ+ሄራ
ይልና	ይ+ል+ና
ተም	ተ+ም
ቢቢሲ	ቢቢ+ሲ
ኩለን	ኩለ+ን
ምትን	ምት+ን
ሜናዊ	ሜና+ዊ
ተት	ተ+ት
ታም	ታ+ም
ኩላን	ኩላ+ን
ተን	ተ+ን
ተኛ	ተ+ኛ
ተኣ	ተ+ኣ
ቲት	ቲ+ት
ቱን	ቱ+ን
ትም	ት+ም
ይሓል	ይ+ሓል
ከረን	ከረ+ን
ታት	ታ+ት
ቲን	ቲ+ን
ቲና	ቲ+ና
ቶም	ቶ+ም
ኩሎም	ኩሎ+ም
ቲካ	ቲ+ካ
ታን	ታ+ን
ታና	ታ+ና
ይመስ	ይ+መስ
ታኡ	ታ+ኡ
ብለካ	ብ+ለ+ካ
ታኣ	ታ+ኣ
ብሉን	ብ+ሉ+ን
ትት	ት+ት
ኣውስ	ኣ+ውስ
ይሓይ	ይ+ሓይ
ብሎም	ብ+ሎ+ም
ታዊ	ታ+ዊ
ትና	ት+ና
ቶት	ቶ+ት
ትን	ት+ን
ብላሕ	ብ+ላሕ
ይካ	ይ+ካ
ትኣ	ት+ኣ
ትኡ	ት+ኡ
ይሕበ	ይ+ሕበ
ይሕብ	ይ+ሕብ
ትካ	ት+ካ
ትኩ	ት+ኩ
ቶን	ቶ+ን
ብለኒ	ብ+ለኒ
ይመል	ይ+መል
ኣዋር	ኣ+ዋር
ይሕግ	ይ+ሕግ
ብልና	ብ+ል+ና
ይምር	ይ+ምር
ይምስ	ይ+ምስ
ብሉጻ	ብ+ሉጻ
ብሉጽ	ብ+ሉጽ
ብለይ	ብ+ለይ
ኢዮም	ኢዮ+ም
ከስም	ከስ+ም
ይምነ	ይ+ምነ
እናን	እና+ን
ኣዕሪ	ኣ+ዕሪ
ብሓባ	ብ+ሓባ
ብሕር	ብ+ሕር
እናኣ	እና+ኣ
ኣዕሩ	ኣ+ዕሩ
ኣዒን	ኣ+ዒ+ን
ኣውጺ	ኣ+ውጺ
ብልዎ	ብ+ልዎ
ይማኖ	ይ+ማኖ
መጠን	መጠ+ን
ዮን	ዮ+ን
ቢታት	ቢ+ታት
ብመስ	ብ+መስ
ኪን	ኪ+ን
ብሓደ	ብ+ሓደ
ብሓን	ብ+ሓ+ን
ይምዕ	ይ+ምዕ
ኪና	ኪ+ና
ብመሰ	ብ+መሰ
