የኦነግ	የ+ኦነግ
---እሴቶች	---እሴ+ቶች
---እንደከፈልነው	---እንደ+ከፈል+ነው
---እንዲሁም	---እንዲ+ሁ+ም
---እንዲሻሻል	---እንዲ+ሻሻል
---እንዲቻልም	---እንዲ+ቻል+ም
---እንዲከበር	---እንዲ+ከበር
---ከሐምሌ	---ከ+ሐምሌ
---ከባድና	-+--ከባድና
---ከተማ	-+--ከተማ
---ከአፍሪካዊያን	---ከ+አፍሪካ+ዊያን
---ከፍተኛ	-+--ከፍተኛ
---ካሳ	-+--ካሳ
---ክብራችን	-+--ክብራችን
---ክፍለ	-+--ክፍለ
---ክፍሎች	-+--ክፍሎች
---ወቅታዊ	---ወቅ+ታዊ
---ዓመቱ	---ዓመ+ቱ
---ዘመቻውን	-+--ዘመቻውን
---የህዳሴ	---የ+ህዳሴ
---የመንገድ	---የ+መንገድ
---የመፍትሄ	---የ+መፍትሄ
---የሚዘጋጅ	---የሚ+ዘጋጅ
---የሚያስችል	---የሚ+ያስች+ል
---የሰላም	---የ+ሰላም
---የሰላምና	---የ+ሰላም+ና
---የሰብአዊ	---የ+ሰብአዊ
---የሱዳኑ	---የ+ሱዳ+ኑ
---የሱዳኑን	---የ+ሱዳኑን
---የበጀት	---የ+በጀት
---የባህል	---የ+ባህል
---የአርብቶ	---የ+አር+ብቶ
---የአገሪቱ	---የ+አገ+ሪቱ
---የአገራት	---የ+አገ+ራት
---የአገራቸውን	---የ+አገ+ራቸውን
---የአፍሪካ	---የ+አፍሪካ
---የአፍሪካን	---የ+አፍሪካ+ን
---የኢትዮጵያ	---የ+ኢትዮጵያ
---የኮንትራት	---የ+ኮንትራት
---የዋናና	---የ+ዋናና
---የዘንድሮው	---የ+ዘንድሮ+ው
---የዳያስፖራ	---የ+ዳያስፖራ
---የዳያስፖራውን	---የ+ዳያስፖራ+ውን
---የገፅታ	---የ+ገፅ+ታ
---የጥገና	---የ+ጥ+ገና
---የፌዴራልና	---የ+ፌዴራል+ና
---ዩኒቨርሲቲና	---ዩኒቨርሲቲ+ና
---ያደረጉ	-+--ያደረጉ
---ያጸደቃቸው	-+--ያጸደቃቸው
---ይኖርብናል	---ይ+ኖር+ብናል
---ደረጃ	-+--ደረጃ
---ደሳለኝንና	---ደሳለኝ+ን+ና
---ዲያስፖራው	---ዲያስፖራ+ው
---ድርጅት	-+--ድርጅት
---ድርጅቶች	-+--ድርጅቶች
---ጉዞ	-+--ጉዞ
---ጉዳዮች	---ጉዳ+ዮች
---ግጭት	-+--ግጭት
---ጠቁሟል	-+--ጠቁሟል
---ጥቅሙ	-+--ጥቅሙ
---ጥናት	---ጥ+ናት
---ጥገናን	-+--ጥገናን
---ጨምሮ	-+--ጨምሮ
---ጽህፈት	-+--ጽህፈት
---ፅህፈት	-+--ፅህፈት
---ፕሬዘዳንቱ	---ፕሬዘዳን+ቱ
---ፕሮጀክቶች	---ፕሮጀክ+ቶች
---ፕሮጀክቶችን	---ፕሮጀክ+ቶችን
--51ኛው	--51ኛ+ው
--አንዱ	--አን+ዱ
--የኢትዮጵያ	--የ+ኢትዮጵያ
--የወጭ	--የ+ወጭ
--ጦሩ	--ጦ+ሩ
-1ህሙማን	-+1ህሙማን
-1መሳሪያው	-1መ+ሳሪያው
-1ረዳል	-+1ረዳል
-1ስክርቢቶው	-1ስክርቢቶ+ው
-1በሰከንዶች	-1በ+ሰከን+ዶች
-1በሳይንስ	-1በ+ሳይንስ
-1በዚህ	-1በ+ዚህ
-1በዚህን	-1በ+ዚህ+ን
-1ቫይረስን	-1ቫይረስ+ን
-1ተችሏል	-1ተ+ች+ሏል
-1ከህክምና	-1ከ+ህ+ክምና
-1ካለው	-1ካ+ለው
-1ካንሰርን	-1ካንሰር+ን
-1ካንሰርንና	-1ካንሰር+ን+ና
-1ዋጋውም	-1ዋጋ+ው+ም
-1የሚል	-1የ+ሚል
-1የሚገኙ	-1የ+ሚ+ገኙ
-1የማሳቹሴትስ	-1የ+ማሳቹሴትስ
-1የካንሰር	-1የ+ካንሰር
-1የደም	-1የ+ደም
-ሀገሪቱ	-ሀገ+ሪቱ
-ለአዲስ	-ለ+አዲስ
-መጠይቅ	-መ+ጠይቅ
-ሙከራዎችና	-+ሙከራዎች+ና
-ምድርና	-ምድር+ና
-ምግባርና	-ምግባር+ና
-ሰላምና	-ሰላም+ና
-ስርአቶች	-ስርአ+ቶች
-በህዝብ	-በ+ህዝብ
-በመላው	-በ+መላ+ው
-በዘንድሮውአመት	-በ+ዘንድሮውአመት
-በደቡብ	-በ+ደቡብ
-ንዋያቸውን	-ንዋ+ያቸውን
-አል-በት-ን	-+አል-በት-ን
-አክራሪነትና	-አ+ክ+ራሪነት+ና
-አዲሱ	-አዲ+ሱ
-ኢትዮጵያና	-ኢትዮጵያ+ና
-ከሴራሊዮን	-ከ+ሴራሊዮን
-ከአንድ	-ከ+አንድ
-ኬንያን	-ኬንያ+ን
-ወጣቱ	-ወጣ+ቱ
-ዘገባው	-+ዘገባው
-የህዝቡን	-የ+ህዝ+ቡን
-የህዝብ	-የ+ህዝብ
-የሕዝብ	-የ+ሕዝብ
-የሚሉ	-የ+ሚ+ሉ
-የሚኒልክ	-የ+ሚኒልክ
-የሰንደቅ	-የ+ሰንደቅ
-የሱማሌ	-የ+ሱማ+ሌ
-የሱዳኑ	-የ+ሱዳ+ኑ
-የሴቶች	-የ+ሴ+ቶች
-የሺ	-የ+ሺ
-የባህልና	-የ+ባህል+ና
-የአርብቶ	-የ+አር+ብቶ
-የአዲስ	-የ+አዲስ
-የኢትዮ	-የ+ኢትዮ
-የኢትዮጵያ	-የ+ኢትዮጵያ
-የኢኮኖሚ	-የ+ኢኮኖሚ
-የክልሉ	-የ+ክ+ልሉ
-የውሃና	-የ+ውሃ+ና
-የዘንድሮው	-የ+ዘንድሮ+ው
-የዴሞክራሲ	-የ+ዴሞክራሲ
-የፌዴራሉ	-የ+ፌዴራ+ሉ
-የፖለቲካ	-የ+ፖለቲካ
-ጥበብና	-+ጥበብና
-ፖሊስንና	-ፖሊስ+ን+ና
ማህበራቱ	ማ+ህ+በራቱ
በዲፕሎማሲ	በ+ዲፕሎማሲ
-በአማራ	-በ+አማራ
ተወዳጅ	ተ+ወዳጅ
‹‹የኤርትራ	‹‹የ+ኤርትራ
-የደኢህዴን	-የ+ደኢህዴን
የዘንድሮው	የ+ዘንድሮ+ው
የአሰራር	የ+አሰራር
ኢትዮጵያውያን	ኢትዮጵያ+ውያን
ከጡቶችሽ	ከ+ጡ+ቶችሽ
ስንሸሽ	ስ+ንሸ+ሽ
በሁዋላ	በ+ሁዋላ
በሚያዝያ	በ+ሚያዝያ
ተመልሰን	ተ+መል+ሰን
ታጥቀን	ታጥ+ቀን
እነዚህን	እነ+ዚህ+ን
እንዲህ	እንዲ+ህ
ከሁዋላው	ከ+ሁዋላ+ው
የገልገል	የ+ገልገል
ይጠቀጥቀኛል	ይ+ጠቀጥ+ቀኛል
በክርክሩ	በ+ክ+ርክሩ
የአዲስአበባ	የ+አዲስአበባ
ሀገሬው	ሀገ+ሬው
መጥምቃዊ	መ+ጥ+ምቃዊ
በሐዲስ	በ+ሐዲስ
አልነበረውም	አል+ነበረው+ም
10ኛው	10ኛ+ው
10ዓመታት	10ዓመ+ታት
116ኛው	116ኛ+ው
119ኛው	119ኛ+ው
11በመቶ	11በ+መቶ
11ኛው	11ኛ+ው
11ኛውን	11ኛ+ውን
በዚሁ	በ+ዚ+ሁ
1133ኛው	1133ኛ+ው
12007ዋኢማ-ኢትዮጵያና	12007ዋኢማ-ኢትዮጵያ+ና
120ኛው	120ኛ+ው
120ኛውን	120ኛ+ውን
121ኛውን	121ኛ+ውን
122ኛው	122ኛ+ው
123ኛው	123ኛ+ው
123ኛውን	123ኛ+ውን
125ኛው	125ኛ+ው
12ቱም	12ቱ+ም
12ቱን	12ቱ+ን
12ኛው	12ኛ+ው
12ኛውን	12ኛ+ውን
በዚያች	በ+ዚያ+ች
13ኛው	13ኛ+ው
ከንጉሥ	ከ+ንጉሥ
በአየር	በ+አየር
1434ኛው	1434ኛ+ው
1435ኛው	1435ኛ+ው
1439ኛው	1439ኛ+ው
ይሄም	ይሄ+ም
ስለካርታው	ስለ+ካርታ+ው
1486ኛው	1486ኛ+ው
152007ዋኢማ-ዳያስፖራው	152007ዋኢማ-ዳያስፖራ+ው
15ኛው	15ኛ+ው
15ኛውን	15ኛ+ውን
16-ኛ-ው	16-ኛ+-ው
162007ዋኢማ-የአገሪቱ	162007ዋኢማ+-የአገሪቱ
16ኛው	16ኛ+ው
172007ዋኢማ-የኩዌትና	172007ዋኢማ+-የኩዌትና
1728የቅጣት	1728የ+ቅ+ጣት
17ኛው	17ኛ+ው
17ኛውን	17ኛ+ውን
172008ዋኢማ-የአገሪቱን	172008ዋኢማ+-የአገሪቱን
18-ኛ-ው	18-ኛ+-ው
182008ዋኢማ-አገራት	182008ዋኢማ+-አገራት
ለአሜሪካና	ለ+አሜሪካ+ና
1893በደብዳቤ	1893በ+ደብዳቤ
የጣሊያን	የ+ጣሊያን
ከንጉሠ	ከ+ንጉሠ
በመቀሌ	በ+መቀሌ
18ኛው	18ኛ+ው
18ኛውና	18ኛ+ው+ና
18ኛውን	18ኛ+ውን
192007ዋኢማ-የሀገራችንን	192007ዋኢማ+-የሀገራችንን
1937በላይ	1937በ+ላይ
1960ዎቹ	1960ዎ+ቹ
1970ዎቹ	1970ዎ+ቹ
1980ዎቹ	1980ዎ+ቹ
1998በኮሌጅ	1998በ+ኮሌጅ
19ነኛው	19ነኛ+ው
19ኛው	19ኛ+ው
ሥጋውና	ሥጋ+ው+ና
ግዛቶቻቸውን	ግ+ዛቶቻቸውን
ሌሎች	ሌ+ሎች
20-ኛ-ው	20-ኛ+-ው
2007ዋኢማ-በከባቢ	2007ዋኢማ+-በከባቢ
2017በስመኝ	2017በ+ስመኝ
2018በስመኝ	2018በ+ስመኝ
2018በብዙአየው	2018በ+ብዙአየው
2018በነስረዲን	2018በ+ነስረዲን
2018በአድማሱ	2018በ+አድማ+ሱ
2019በሰለሞን	2019በ+ሰለሞን
2019በአድማሱ	2019በ+አድማ+ሱ
2019በጌታቸው	2019በ+ጌታቸው
202005ዋኢማ-ኢትዮጵያና	202005ዋኢማ-ኢትዮጵያ+ና
202008ዋኢማ-በአሳሳቢው	202008ዋኢማ+-በአሳሳቢው
202008ዋኢማ-የመንግስታቱ	202008ዋኢማ+-የመንግስታቱ
20በመቶ	20በ+መቶ
20ኛው	20ኛ+ው
20ዎቹ	20ዎ+ቹ
212005ዋኢማ-የአራተኛው	212005ዋኢማ+-የአራተኛው
በአርኪኦሎጂያዊ	በ+አርኪኦሎጂያዊ
21ኛው	21ኛ+ው
21ኛውን	21ኛ+ውን
22-ኛ-ው	22-ኛ+-ው
22007ዋኢማ-የጥራት	22007ዋኢማ+-የጥራት
22ኛው	22ኛ+ው
22ኛውን	22ኛ+ውን
የኢህአዴግ	የ+ኢህአዴግ
23-ኛ-ው	23-ኛ+-ው
232004ዋኢማ-በነገው	232004ዋኢማ+-በነገው
23ተኛው	23ተኛ+ው
23ቱም	23ቱ+ም
23ኛው	23ኛ+ው
23ኛውን	23ኛ+ውን
242007ዋኢማ-24ኛው	242007ዋኢማ+-24ኛው
242008ዋኢማ-የዘንድሮው	242008ዋኢማ-የዘንድሮ+ው
24ተኛው	24ተኛ+ው
24ቱን	24ቱ+ን
24ኛው	24ኛ+ው
24ኛውን	24ኛ+ውን
255ሰልጣኞችንም	255ሰል+ጣኞች+ንም
25ተኛው	25ተኛ+ው
25ኛው	25ኛ+ው
262007ዋኢማ-በአገሪቱ	262007ዋኢማ+-በአገሪቱ
26ኛው	26ኛ+ው
27ኛውን	27ኛ+ውን
28ተኛ	28ተ+ኛ
28ኛውን	28ኛ+ውን
28፥19መሥርቷታል	28፥19መሥር+ቷታል
ሊያደርጉ	ሊ+ያ+ደርጉ
292004-የኢትዮጵያ	292004-የ+ኢትዮጵያ
292004ዋኢማ-ብዝሃነትን	292004ዋኢማ+-ብዝሃነትን
29ኛው	29ኛ+ው
29ኝን	29ኝ+ን
2መቶኛ	2መቶ+ኛ
በብሉይ	በ+ብሉይ
2ኛና	2ኛ+ና
2ኛው	2ኛ+ው
2ኛውን	2ኛ+ውን
እንደሌለው	እንደ+ሌ+ለው
302007ዋኢማ-መገናኛ	302007ዋኢማ+-መገናኛ
30ኛው	30ኛ+ው
30ዎቹ	30ዎ+ቹ
